user_id,movie_id,title,score
3688,3462,Modern Times (1936),5.0
3688,1131,Jean de Florette (1986),5.0
3688,541,Blade Runner (1982),5.0
3688,720,Wallace & Gromit: The Best of Aardman Animation (1996),5.0
3688,1284,"Big Sleep, The (1946)",5.0
3688,922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),5.0
3688,3077,42 Up (1998),5.0
3688,1178,Paths of Glory (1957),5.0
3688,2905,Sanjuro (1962),5.0
3688,745,"Close Shave, A (1995)",4.998
3689,296,Pulp Fiction (1994),4.644
3689,260,Star Wars: Episode IV - A New Hope (1977),4.4967
3689,1213,GoodFellas (1990),4.4195
3689,1196,Star Wars: Episode V - The Empire Strikes Back (1980),4.4171
3689,2329,American History X (1998),4.4093
3689,1198,Raiders of the Lost Ark (1981),4.3757
3689,858,"Godfather, The (1972)",4.3574
3689,2918,Ferris Bueller's Day Off (1986),4.3368
3689,2905,Sanjuro (1962),4.3117
3689,1221,"Godfather: Part II, The (1974)",4.3085
3690,296,Pulp Fiction (1994),4.3529
3690,1221,"Godfather: Part II, The (1974)",4.3103
3690,2905,Sanjuro (1962),4.2992
3690,2571,"Matrix, The (1999)",4.2526
3690,858,"Godfather, The (1972)",4.244
3690,1900,"Children of Heaven, The (Bacheha-Ye Aseman) (1997)",4.2262
3690,1136,Monty Python and the Holy Grail (1974),4.2068
3690,1206,"Clockwork Orange, A (1971)",4.1684
3690,912,Casablanca (1942),4.167
3690,2324,Life Is Beautiful (La Vita è bella) (1997),4.1595
3691,2905,Sanjuro (1962),5.0
3691,858,"Godfather, The (1972)",4.8756
3691,3338,For All Mankind (1989),4.7881
3691,1394,Raising Arizona (1987),4.6851
3691,2324,Life Is Beautiful (La Vita è bella) (1997),4.6818
3691,1193,One Flew Over the Cuckoo's Nest (1975),4.6803
3691,3897,Almost Famous (2000),4.6771
3691,678,Some Folks Call It a Sling Blade (1993),4.625
3691,2671,Notting Hill (1999),4.6213
3691,2357,Central Station (Central do Brasil) (1998),4.6212
3692,1198,Raiders of the Lost Ark (1981),5.0
3692,3307,City Lights (1931),5.0
3692,50,"Usual Suspects, The (1995)",5.0
3692,745,"Close Shave, A (1995)",5.0
3692,1148,"Wrong Trousers, The (1993)",5.0
3692,720,Wallace & Gromit: The Best of Aardman Animation (1996),5.0
3692,942,Laura (1944),5.0
3692,2905,Sanjuro (1962),5.0
3692,318,"Shawshank Redemption, The (1994)",4.942
3692,2351,Nights of Cabiria (Le Notti di Cabiria) (1957),4.9338
3693,1204,Lawrence of Arabia (1962),4.6144
3693,1262,"Great Escape, The (1963)",4.5639
3693,2905,Sanjuro (1962),4.5342
3693,923,Citizen Kane (1941),4.5064
3693,527,Schindler's List (1993),4.5004
3693,3338,For All Mankind (1989),4.4622
3693,969,"African Queen, The (1951)",4.4512
3693,1283,High Noon (1952),4.4391
3693,1212,"Third Man, The (1949)",4.4132
3693,1954,Rocky (1976),4.3971
3694,2905,Sanjuro (1962),4.7079
3694,2324,Life Is Beautiful (La Vita è bella) (1997),4.6604
3694,1873,"Misérables, Les (1998)",4.5512
3694,930,Notorious (1946),4.4829
3694,110,Braveheart (1995),4.4749
3694,1262,"Great Escape, The (1963)",4.468
3694,3022,"General, The (1927)",4.4217
3694,1131,Jean de Florette (1986),4.421
3694,668,Pather Panchali (1955),4.4173
3694,260,Star Wars: Episode IV - A New Hope (1977),4.4144
3695,2905,Sanjuro (1962),5.0
3695,2761,"Iron Giant, The (1999)",4.9125
3695,745,"Close Shave, A (1995)",4.83
3695,2762,"Sixth Sense, The (1999)",4.7941
3695,1148,"Wrong Trousers, The (1993)",4.7773
3695,1188,Strictly Ballroom (1992),4.7622
3695,1223,"Grand Day Out, A (1992)",4.7328
3695,1407,Scream (1996),4.7264
3695,1224,Henry V (1989),4.7154
3695,1111,Microcosmos (Microcosmos: Le peuple de l'herbe) (1996),4.6998
3696,953,It's a Wonderful Life (1946),5.0
3696,858,"Godfather, The (1972)",5.0
3696,1221,"Godfather: Part II, The (1974)",5.0
3696,1954,Rocky (1976),4.948
3696,1207,To Kill a Mockingbird (1962),4.8659
3696,923,Citizen Kane (1941),4.8567
3696,919,"Wizard of Oz, The (1939)",4.8492
3696,1927,All Quiet on the Western Front (1930),4.8244
3696,2905,Sanjuro (1962),4.8091
3696,912,Casablanca (1942),4.8013
3697,318,"Shawshank Redemption, The (1994)",5.0
3697,1917,Armageddon (1998),5.0
3697,3578,Gladiator (2000),5.0
3697,3753,"Patriot, The (2000)",5.0
3697,3552,Caddyshack (1980),5.0
3697,553,Tombstone (1993),5.0
3697,2804,"Christmas Story, A (1983)",4.9303
3697,678,Some Folks Call It a Sling Blade (1993),4.903
3697,2905,Sanjuro (1962),4.8884
3697,104,Happy Gilmore (1996),4.8678
3698,2019,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),4.7451
3698,1178,Paths of Glory (1957),4.6793
3698,1212,"Third Man, The (1949)",4.628
3698,1233,"Boat, The (Das Boot) (1981)",4.5726
3698,1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",4.437
3698,1217,Ran (1985),4.4364
3698,2905,Sanjuro (1962),4.4178
3698,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),4.4172
3698,1204,Lawrence of Arabia (1962),4.4172
3698,2731,"400 Blows, The (Les Quatre cents coups) (1959)",4.4096
3699,318,"Shawshank Redemption, The (1994)",5.0
3699,1131,Jean de Florette (1986),5.0
3699,1234,"Sting, The (1973)",5.0
3699,1262,"Great Escape, The (1963)",5.0
3699,2905,Sanjuro (1962),5.0
3699,3338,For All Mankind (1989),5.0
3699,2762,"Sixth Sense, The (1999)",4.9976
3699,953,It's a Wonderful Life (1946),4.9947
3699,3470,Dersu Uzala (1974),4.9921
3699,2398,Miracle on 34th Street (1947),4.9825
3700,318,"Shawshank Redemption, The (1994)",4.9717
3700,2905,Sanjuro (1962),4.9362
3700,1193,One Flew Over the Cuckoo's Nest (1975),4.8554
3700,1961,Rain Man (1988),4.7928
3700,50,"Usual Suspects, The (1995)",4.7539
3700,953,It's a Wonderful Life (1946),4.7402
3700,1234,"Sting, The (1973)",4.7333
3700,2329,American History X (1998),4.7131
3700,904,Rear Window (1954),4.7128
3700,3338,For All Mankind (1989),4.7122
3701,3338,For All Mankind (1989),4.5455
3701,2905,Sanjuro (1962),4.5095
3701,318,"Shawshank Redemption, The (1994)",4.4311
3701,1131,Jean de Florette (1986),4.364
3701,911,Charade (1963),4.3602
3701,733,"Rock, The (1996)",4.3234
3701,1197,"Princess Bride, The (1987)",4.3126
3701,3030,Yojimbo (1961),4.3014
3701,1262,"Great Escape, The (1963)",4.2952
3701,908,North by Northwest (1959),4.2886
3702,2905,Sanjuro (1962),4.8275
3702,2858,American Beauty (1999),4.6732
3702,2351,Nights of Cabiria (Le Notti di Cabiria) (1957),4.6577
3702,3481,High Fidelity (2000),4.6526
3702,608,Fargo (1996),4.6463
3702,2300,"Producers, The (1968)",4.598
3702,1225,Amadeus (1984),4.5914
3702,745,"Close Shave, A (1995)",4.5879
3702,2731,"400 Blows, The (Les Quatre cents coups) (1959)",4.5712
3702,908,North by Northwest (1959),4.5647
3703,923,Citizen Kane (1941),5.0
3703,2019,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),4.9067
3703,922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),4.819
3703,2700,"South Park: Bigger, Longer and Uncut (1999)",4.7471
3703,3022,"General, The (1927)",4.7279
3703,1212,"Third Man, The (1949)",4.7014
3703,1223,"Grand Day Out, A (1992)",4.6727
3703,1256,Duck Soup (1933),4.6623
3703,1136,Monty Python and the Holy Grail (1974),4.6619
3703,3030,Yojimbo (1961),4.6547
3704,1267,"Manchurian Candidate, The (1962)",5.0
3704,599,"Wild Bunch, The (1969)",5.0
3704,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),5.0
3704,903,Vertigo (1958),5.0
3704,904,Rear Window (1954),5.0
3704,1296,"Room with a View, A (1986)",5.0
3704,910,Some Like It Hot (1959),5.0
3704,912,Casablanca (1942),5.0
3704,2248,Say Anything... (1989),5.0
3704,913,"Maltese Falcon, The (1941)",5.0
3705,3338,For All Mankind (1989),4.6705
3705,2905,Sanjuro (1962),4.665
3705,3022,"General, The (1927)",4.5131
3705,668,Pather Panchali (1955),4.4977
3705,326,To Live (Huozhe) (1994),4.4699
3705,1178,Paths of Glory (1957),4.4692
3705,1358,Sling Blade (1996),4.4553
3705,2019,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),4.4449
3705,3949,Requiem for a Dream (2000),4.4446
3705,1204,Lawrence of Arabia (1962),4.4433
3706,858,"Godfather, The (1972)",5.0
3706,2762,"Sixth Sense, The (1999)",5.0
3706,50,"Usual Suspects, The (1995)",5.0
3706,260,Star Wars: Episode IV - A New Hope (1977),4.9588
3706,1250,"Bridge on the River Kwai, The (1957)",4.9271
3706,1147,When We Were Kings (1996),4.9226
3706,2028,Saving Private Ryan (1998),4.9144
3706,1704,Good Will Hunting (1997),4.9092
3706,3552,Caddyshack (1980),4.9053
3706,1207,To Kill a Mockingbird (1962),4.8997
3707,110,Braveheart (1995),5.0
3707,318,"Shawshank Redemption, The (1994)",5.0
3707,2905,Sanjuro (1962),5.0
3707,858,"Godfather, The (1972)",4.9969
3707,527,Schindler's List (1993),4.9406
3707,2762,"Sixth Sense, The (1999)",4.8896
3707,3421,Animal House (1978),4.885
3707,678,Some Folks Call It a Sling Blade (1993),4.8711
3707,2324,Life Is Beautiful (La Vita è bella) (1997),4.8624
3707,3552,Caddyshack (1980),4.8597
3708,2905,Sanjuro (1962),4.711
